"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
34630,"4","Not Flooded","2026-01-23T20:46:18.301986Z",213976,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_ccaafd467c010e108c1524696f94a7da.jpg",3.126,"2026-01-23T20:46:18.302002Z"
34520,"4","Not Flooded","2026-01-23T20:14:52.384601Z",213977,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_e4515596227938b68a46e22b426e24c0.jpg",2.923,"2026-01-23T20:14:52.384613Z"
34931,"4","Not Flooded","2026-01-23T21:02:41.518184Z",213978,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c3f86eeb8ecef9446cf0e1e2d9202dfd.jpg",1.893,"2026-01-23T21:02:41.518205Z"
34595,"4","Not Flooded","2026-01-23T20:44:32.709514Z",213979,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_69f2091b78d0027a431b00e6c613aa9a.jpg",2.148,"2026-01-23T20:44:32.709527Z"
34472,"4","Flooded","2026-01-23T20:11:01.654264Z",213980,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_1884de26f0f465910b0e11528c3405df.jpg",25.614,"2026-01-23T20:11:01.654296Z"
34566,"4","Not Flooded","2026-01-23T20:42:52.420853Z",213981,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_80dcb553b39dd174cd211a8f26c49b43.jpg",1.917,"2026-01-23T20:42:52.420874Z"
34516,"4","Not Flooded","2026-01-23T20:14:37.146038Z",213982,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_f1c1f5c0ff118e1fd43329d9c07d80f6.jpg",2.304,"2026-01-23T20:14:37.146053Z"
34808,"4","Not Flooded","2026-01-23T20:55:20.935729Z",213983,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_8e46232473984a9f4cda1b0ae691b3dd.jpg",1.927,"2026-01-23T20:55:20.935750Z"
34944,"4","Not Flooded","2026-01-23T21:03:25.381645Z",213984,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6f35f5883ba438753cd359bc62710732.jpg",2.497,"2026-01-23T21:03:25.381666Z"
34477,"4","Not Flooded","2026-01-23T20:11:33.957109Z",213985,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_be60f02d897dc9ddced7792953d8aff3.jpg",3.505,"2026-01-23T20:11:33.957131Z"
34890,"4","Not Flooded","2026-01-23T21:00:13.009990Z",213986,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_0b3f34b519117d4a10f8f81f1c79acc7.jpg",1.715,"2026-01-23T21:00:13.010016Z"
34961,"4","Not Flooded","2026-01-23T21:04:13.514848Z",213987,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_bdb2be2d0d491606bfe0da38029dd843.jpg",1.801,"2026-01-23T21:04:13.514860Z"
34641,"4","Not Flooded","2026-01-23T20:46:50.208805Z",213988,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_bb2c3c755091d708c3dc7c86c65606f9.jpg",2.395,"2026-01-23T20:46:50.208830Z"
