,image,gt,pred,tp,camera_heading,captured_at,h3_index_res12,direction,frame_quality,frame_context,gps_info.longitude,gps_info.latitude
0,nlbx_0321cea2aba1e0031aad262982fd6bee.jpg,1,1,1,238.0296936035156,2023-09-29 08:08:51.194000-04:00,631243951187449855,SOUTH_WEST,0.747459888458252,DAYLIGHT,-73.96382,40.639375
1,nlbx_9349f44a4398d9e694685945158ff79d.jpg,1,1,1,219.56707763671875,2023-09-29 09:03:12.880000-04:00,631243922670672895,SOUTH_WEST,0.6412634253501892,DAYLIGHT,-73.953382,40.717926
2,nlbx_3b21011a96dca4ac5579c558230f1fa8.jpg,0,0,0,157.75,2023-09-29 11:31:13.508000-04:00,631243922987503103,SOUTH,0.8124980926513672,DAYLIGHT,-73.824426,40.787516
3,nlbx_2a5121429509607e63c76bcdb9aa3f27.jpg,1,1,1,127.27446746826172,2023-09-29 09:20:05.960000-04:00,631243921461091839,SOUTH_EAST,0.7381538152694702,DAYLIGHT,-73.96747,40.784631
4,nlbx_877f4b3f318c142ed74aca3a7e364966.jpg,1,1,1,214.07781982421875,2023-09-29 10:42:24.826000-04:00,631243920687708671,SOUTH_WEST,0.8938847780227661,DAYLIGHT,-73.739348,40.667408
5,nlbx_88bbfe9631ce6eda6b06e516de30d11b.jpg,0,0,0,78.80926513671875,2023-09-29 07:26:42.103000-04:00,631243935063518207,EAST,0.836693525314331,DAYLIGHT,-73.771279,40.672466
6,nlbx_f826a0eaa780795acc01baefa076f8cd.jpg,0,0,0,315.389404296875,2023-09-29 08:17:48.121000-04:00,631243923092368383,NORTH_WEST,0.8293218612670898,DAYLIGHT,-73.833014,40.715816
7,nlbx_d26d502d1603a9d661813ebc7156b610.jpg,0,0,0,80.75,2023-09-29 14:45:35.760000-04:00,631243949986040831,EAST,0.7750164270401001,DAYLIGHT,-73.981493,40.71075
8,nlbx_2ede224b1bee606a150a4a00562b8d89.jpg,0,0,0,258.8168640136719,2023-09-29 10:31:12.442000-04:00,631243922517728255,WEST,0.9109113216400146,DAYLIGHT,-73.879948,40.674245
9,nlbx_809544fd7fc4611b1b8c4aa5e9c37543.jpg,1,1,1,261.3642578125,2023-09-29 09:48:43.159000-04:00,631243950346556415,WEST,0.7418614029884338,DAYLIGHT,-73.994694,40.572904
10,nlbx_a864ef34a448260e5300e45c24770d88.jpg,0,0,0,209.0447540283203,2023-09-29 12:00:51.862000-04:00,631243922702149119,SOUTH_WEST,0.6302689909934998,DAYLIGHT,-73.989228,40.726462
11,nlbx_75067dc05b4d12c335242cb39bbdafea.jpg,0,1,0,305.72463613396553,2023-09-29 17:48:08.555000-04:00,631243922677648383,NORTH_WEST,0.7731057405471802,DAYLIGHT,-73.942152,40.73668
12,nlbx_3790d14cd77a0bced85c0fb047a6cffa.jpg,0,1,0,166.375,2023-09-29 10:24:54.439000-04:00,631243949974639615,SOUTH,0.9237841367721558,DAYLIGHT,-74.004592,40.734118
13,nlbx_e58b0234ff06c88a6baff3d124b797f0.jpg,1,1,1,320.7978210449219,2023-09-29 10:23:19.240000-04:00,631243919666562559,NORTH_WEST,0.668940544128418,DAYLIGHT,-73.870482,40.842633
14,nlbx_c5d9a5a8ccafe79291bbf0b59bf00de5.jpg,1,1,1,267.56746113956893,2023-09-29 09:33:58.642000-04:00,631243919347335679,WEST,0.799963116645813,DAYLIGHT,-73.786363,40.789542
