"annotation_id","annotator","choice","created_at","dry_road","dry_road_percentile","flooded_road","flooded_road_percentile","id","image","img_id","labels","lead_time","no_road","no_road_percentile","not_flooded","not_flooded_percentile","positive","updated_at","wet_road","wet_road_percentile"
30318,"1","Not Flooded","2025-02-10T19:19:40.165933Z",0.0001703213492874,0.4944461959033137,0.1205942556262016,0.994645934192172,0,"/data/local-files/?d=/share/XXXX-19/nexar_data/2023/2023-09-29/604222337365049343/frames/d6764ca01de7e45ece011037816d0adc.jpg","d6764ca01de7e45ece011037816d0adc","",1.698,0.0155732808634638,0.5664340345406883,0.8794057854975107,0.0053551454742542,True,"2025-02-10T19:19:40.165953Z",0.8636621832847595,0.2392432833951622
30077,"1","Not Flooded","2025-02-10T19:07:57.670327Z",0.0043974476866424,0.8596757545788654,0.0121417436748743,0.6001682120292114,3,"/data/local-files/?d=/share/XXXX-19/nexar_data/2023/2023-09-29/604222325151236095/frames/ae5e2e3a47b63b154a4102016175fcca.jpg","ae5e2e3a47b63b154a4102016175fcca","",1.399,0.1188544109463691,0.7686674325100517,0.987858239095658,0.3998328676372148,False,"2025-02-10T19:07:57.670347Z",0.8646063804626465,0.2399515445707894
30071,"1","Not Flooded","2025-02-10T19:07:43.464361Z",9.620820492273197e-06,0.0729919284137972,0.004329920746386,0.1839238748796172,4,"/data/local-files/?d=/share/XXXX-19/nexar_data/2023/2023-09-29/604222322869534719/frames/52e82620414aa29b57630e717d90f616.jpg","52e82620414aa29b57630e717d90f616","",4.623,0.0003554215363692,0.0542240869261033,0.9956701036971936,0.816085302285006,False,"2025-02-10T19:07:43.464382Z",0.995305061340332,0.9455556611229394
30177,"1","Not Flooded","2025-02-10T19:11:38.225322Z",0.0004948827554471,0.6310671854823734,0.0096341650933027,0.497856862143872,8,"/data/local-files/?d=/share/XXXX-19/nexar_data/2023/2023-09-29/604222337365049343/frames/ce17c7df23a7c884cd57bea7c2ca3322.jpg","ce17c7df23a7c884cd57bea7c2ca3322","",0.842,0.007159502711147,0.4606094501042957,0.9903658794355577,0.502147456521833,False,"2025-02-10T19:11:38.225344Z",0.9827114939689636,0.6378825797981456
30254,"1","Not Flooded","2025-02-10T19:17:25.865766Z",0.0001164923523901,0.4373923032739805,0.0082953525707125,0.4319518641520515,10,"/data/local-files/?d=/share/XXXX-19/nexar_data/2023/2023-09-29/604222325017018367/frames/1a73c494fabcd87227928e0c6b25aa15.jpg","1a73c494fabcd87227928e0c6b25aa15","",0.933,0.0023398112971335,0.2842254257124719,0.9917046390110044,0.5680481358479484,False,"2025-02-10T19:17:25.865787Z",0.9892483353614808,0.7762877181466015
30084,"1","Not Flooded","2025-02-10T19:08:22.611957Z",0.0013690246269106,0.7403564194806372,0.0080022569745779,0.416032182696834,11,"/data/local-files/?d=/share/XXXX-19/nexar_data/2023/2023-09-29/604222337365049343/frames/281fc95eabe26fabcf832745f4a8a3f2.jpg","281fc95eabe26fabcf832745f4a8a3f2","",0.769,0.0060404194518923,0.4349123094928591,0.9919976498931644,0.5839688969695923,False,"2025-02-10T19:08:22.611978Z",0.9845882058143616,0.6722375654817687
30367,"1","Not Flooded","2025-02-10T19:21:11.765974Z",0.0073154992423951,0.9078116025272832,0.0080345040187239,0.4177002673254071,12,"/data/local-files/?d=/share/XXXX-19/nexar_data/2023/2023-09-29/604222324211711999/frames/8106ebcfde12fb73bc180508d792671b.jpg","8106ebcfde12fb73bc180508d792671b","",0.836,0.6483108401298523,0.9323319067340954,0.9919655746780336,0.5823062106731505,False,"2025-02-10T19:21:11.765997Z",0.3363392353057861,0.0702722486860459
30109,"1","Not Flooded","2025-02-10T19:09:06.369575Z",2.1939882572041824e-05,0.1696523042240869,0.0080590918660163,0.4205057805340462,13,"/data/local-files/?d=/share/XXXX-19/nexar_data/2023/2023-09-29/604222325285453823/frames/01a09f0e05b0a71134192c59c0cf6afc.jpg","01a09f0e05b0a71134192c59c0cf6afc","",0.904,0.000337876699632,0.0508198986841025,0.991940958530904,0.5795109542955609,False,"2025-02-10T19:09:06.369599Z",0.9915811419487,0.8391485966495792
29508,"1","Not Flooded","2025-02-09T17:53:40.133613Z",0.0020153445657342,0.7800444174767763,0.0241712816059589,0.8477103514098284,15,"/data/local-files/?d=/share/XXXX-19/nexar_data/2023/2023-09-29/604222352263217151/frames/d53a17fbdedf617a9588fb05c535b524.jpg","d53a17fbdedf617a9588fb05c535b524","",45.029,0.1083281710743904,0.7607291851109681,0.9758286473806946,0.1522885689237453,False,"2025-02-09T17:53:40.133636Z",0.8654851317405701,0.2406430709168095
29052,"1","Not Flooded","2025-02-08T03:52:38.729854Z",0.0006490088417194,0.6613475100732877,0.1217617094516754,0.994729068506994,16,"/data/local-files/?d=/share/XXXX-19/nexar_data/2023/2023-09-29/604222347834032127/frames/038bd32580e90b0bbc6e87073a315e43.jpg","038bd32580e90b0bbc6e87073a315e43","",0.857,0.0454990305006504,0.6824539090402629,0.8782383575453422,0.0052720111594321,True,"2025-02-08T03:52:38.729873Z",0.8320903182029724,0.2175290322302021
30231,"1","Not Flooded","2025-02-10T19:16:33.556705Z",0.0003631298313848,0.5946154875989514,0.0068517574109137,0.3499166497518926,18,"/data/local-files/?d=/share/XXXX-19/nexar_data/2023/2023-09-29/604222323003752447/frames/0f31cef850a13e7abd6fa8be33dd0805.jpg","0f31cef850a13e7abd6fa8be33dd0805","",0.91,0.0071805799379944,0.4610456353405052,0.993148234381806,0.6500844299145336,False,"2025-02-10T19:16:33.556725Z",0.9856045246124268,0.6926502787698713
